"subject" "level" "tBodyAcc-mean-X" "tBodyAcc-mean-Y" "tBodyAcc-mean-Z" "tGravityAcc-mean-X" "tGravityAcc-mean-Y" "tGravityAcc-mean-Z" "tBodyAccJerk-mean-X" "tBodyAccJerk-mean-Y" "tBodyAccJerk-mean-Z" "tBodyGyro-mean-X" "tBodyGyro-mean-Y" "tBodyGyro-mean-Z" "tBodyGyroJerk-mean-X" "tBodyGyroJerk-mean-Y" "tBodyGyroJerk-mean-Z" "tBodyAccMag-mean" "tGravityAccMag-mean" "tBodyAccJerkMag-mean" "tBodyGyroMag-mean" "tBodyGyroJerkMag-mean" "fBodyAcc-mean-X" "fBodyAcc-mean-Y" "fBodyAcc-mean-Z" "fBodyAcc-meanFreq-X" "fBodyAcc-meanFreq-Y" "fBodyAcc-meanFreq-Z" "fBodyAccJerk-mean-X" "fBodyAccJerk-mean-Y" "fBodyAccJerk-mean-Z" "fBodyAccJerk-meanFreq-X" "fBodyAccJerk-meanFreq-Y" "fBodyAccJerk-meanFreq-Z" "fBodyGyro-mean-X" "fBodyGyro-mean-Y" "fBodyGyro-mean-Z" "fBodyGyro-meanFreq-X" "fBodyGyro-meanFreq-Y" "fBodyGyro-meanFreq-Z" "fBodyAccMag-mean" "fBodyAccMag-meanFreq" "fBodyBodyAccJerkMag-mean" "fBodyBodyAccJerkMag-meanFreq" "fBodyBodyGyroMag-mean" "fBodyBodyGyroMag-meanFreq" "fBodyBodyGyroJerkMag-mean" "fBodyBodyGyroJerkMag-meanFreq" "tBodyAcc-standard deviation-X" "tBodyAcc-standard deviation-Y" "tBodyAcc-standard deviation-Z" "tGravityAcc-standard deviation-X" "tGravityAcc-standard deviation-Y" "tGravityAcc-standard deviation-Z" "tBodyAccJerk-standard deviation-X" "tBodyAccJerk-standard deviation-Y" "tBodyAccJerk-standard deviation-Z" "tBodyGyro-standard deviation-X" "tBodyGyro-standard deviation-Y" "tBodyGyro-standard deviation-Z" "tBodyGyroJerk-standard deviation-X" "tBodyGyroJerk-standard deviation-Y" "tBodyGyroJerk-standard deviation-Z" "tBodyAccMag-standard deviation" "tGravityAccMag-standard deviation" "tBodyAccJerkMag-standard deviation" "tBodyGyroMag-standard deviation" "tBodyGyroJerkMag-standard deviation" "fBodyAcc-standard deviation-X" "fBodyAcc-standard deviation-Y" "fBodyAcc-standard deviation-Z" "fBodyAccJerk-standard deviation-X" "fBodyAccJerk-standard deviation-Y" "fBodyAccJerk-standard deviation-Z" "fBodyGyro-standard deviation-X" "fBodyGyro-standard deviation-Y" "fBodyGyro-standard deviation-Z" "fBodyAccMag-standard deviation" "fBodyBodyAccJerkMag-standard deviation" "fBodyBodyGyroMag-standard deviation" "fBodyBodyGyroJerkMag-standard deviation"
1 "LAYING" 0.22159824394 -0.0405139534294 -0.11320355358 -0.24888179828 0.70554977346 0.4458177198 0.0810865342 0.0038382040088 0.010834236361 -0.016553093978 -0.064486124088 0.14868943626 -0.107270949192 -0.04151728689 -0.0740501211 -0.8419291525 -0.8419291525 -0.9543962646 -0.874759548 -0.96346103 -0.9390990524 -0.86706520518 -0.8826668762 -0.158792670508 0.097534841586 0.08943765522 -0.9570738838 -0.9224626098 -0.9480609042 0.132419092398 0.024513618956 0.02438794528 -0.850249174586 -0.9521914948 -0.909302721 -0.003546795856 -0.091529130882 0.01045812566 -0.8617676481 0.08640856294 -0.9333003608 0.26639115416 -0.8621901854 -0.1397750127 -0.9423669466 0.17648590708 -0.9280564692 -0.83682740562 -0.826061401628 -0.8968300184 -0.90772000676 -0.85236629022 -0.958482112 -0.9241492736 -0.9548551108 -0.87354386782 -0.9510904402 -0.9082846626 -0.9186085208 -0.9679072436 -0.9577901596 -0.79514486386 -0.79514486386 -0.9282456284 -0.81901016976 -0.9358409828 -0.9244374346 -0.8336255561 -0.81289155944 -0.9641607086 -0.9322178704 -0.9605869872 -0.8822964508 -0.9512320494 -0.9165825082 -0.7983009404 -0.9218039756 -0.82431943968 -0.9326606676
2 "LAYING" -0.718626596041667 -1.01815873975833 -1.10724561041667 -1.509754238125 -0.247463360625 -0.353165120416667 -0.917402748833333 -0.987745211548125 -1.00180264895625 -1.01847660675 -1.11180082458333 -0.855117153895833 -1.10197413420833 -1.03585901760833 -1.07017830208333 -1.97743548520833 -1.97743548520833 -1.98774169604167 -1.95001156958333 -1.99176707416667 -1.97672505979167 -1.97980087791667 -1.984380981875 -1.14648279259167 -0.7427105345 -0.597467446604167 -1.98581363083333 -1.98276825041667 -1.98619713458333 -0.840191671436125 -0.8787935759875 -0.809441781854167 -1.9864311425 -1.98332163541667 -1.9626718875 -0.89738868061875 -0.95771933160625 -0.944701401352083 -1.97511019645833 -0.7337017875 -1.98537411479167 -0.6582414255 -1.97211297270833 -0.98143552776875 -1.99024870229167 -0.735198494604167 -1.97405946479167 -1.98027739875 -1.984233296875 -1.95901444145833 -1.98821186520833 -1.984230418125 -1.98587216875 -1.98317254125 -1.988442014375 -1.98827523291667 -1.98229160895833 -1.96030656041667 -1.99323584916667 -1.98956753791667 -1.98803582125 -1.97287391291667 -1.97287391291667 -1.98551807625 -1.96116405395833 -1.98971809520833 -1.97324648208333 -1.981025105625 -1.984792185 -1.98725025583333 -1.98498739291667 -1.98934536854167 -1.98886068583333 -1.98191061645833 -1.96317422229167 -1.97512138791667 -1.98456848916667 -1.96109837875 -1.98949266041667
3 "LAYING" 0.275516852741935 -0.0189556785048387 -0.101300477506452 -0.241758478064516 0.837032099677419 0.48870318516129 0.0769811125806452 0.0138041011306452 -0.00435625874355645 -0.0208170540330645 -0.0718507159435484 0.137999561112903 -0.10004449883871 -0.0389771765322581 -0.06873387 -0.972791346129032 -0.972791346129032 -0.979484593387097 -0.951564751451613 -0.98671362516129 -0.980665609032258 -0.961169982903226 -0.968332141612903 -0.0739526439887097 0.238470751435484 0.216971671672581 -0.980513202258064 -0.968752113709677 -0.979122344354839 0.17597855438871 -0.0131774961758065 0.0448196905903226 -0.970167262903226 -0.978099682258065 -0.962341960806452 -0.0822166454290323 -0.0266820108903226 0.147686455548065 -0.96552427516129 0.236990127870968 -0.975949597903226 0.238611133937097 -0.96458672483871 -0.0229296114693548 -0.984278251290323 0.110697704185484 -0.982776639193548 -0.962057544516129 -0.96369103483871 -0.982512193064516 -0.981202749677419 -0.964807543870968 -0.98087931483871 -0.968710724677419 -0.982093162903226 -0.974545752096774 -0.977272653709677 -0.963505609032258 -0.980328645 -0.986762741935484 -0.983338279516129 -0.964218176451613 -0.964218176451613 -0.976121297903226 -0.954275110967742 -0.983139255645161 -0.983691129032258 -0.964094604193548 -0.96327908016129 -0.983122615967742 -0.971044012741936 -0.983711904677419 -0.975986433709677 -0.977032495483871 -0.967256854193548 -0.968350217419355 -0.975305377903226 -0.955441855806452 -0.982568158064516
4 "LAYING" -0.736440785018519 -1.01500318410556 -1.11068815031481 -1.42066466222222 -0.0848348957407407 -0.658468689444444 -0.906550578222222 -0.993066867860315 -1.00641054328741 -1.00923156347222 -1.09301281807593 -0.830279595907407 -1.10501987768519 -1.03812304322222 -1.07121562883333 -1.95455760314815 -1.95455760314815 -1.97009577166667 -1.93023646259259 -1.98506850203704 -1.95880207759259 -1.93888337444444 -1.96750427888889 -1.27419461876667 -0.633768551005556 -0.798670408023889 -1.97854245740741 -1.94396998722222 -1.97538332944444 -0.817563516842593 -0.90125711637037 -0.9229788835 -1.96720373648148 -1.97218783907407 -1.96147926259259 -1.06609218239444 -1.52688999556296 -0.847113688396296 -1.9393897012963 -0.758302100185185 -1.96228712537037 -0.725972650425926 -1.96155666018519 -1.25985196979815 -1.98360907333333 -0.797050618462963 -1.95419373888889 -1.94171404240741 -1.96266731481481 -1.92119996592593 -1.96981663574074 -1.97617660888889 -1.97830278111111 -1.94220948833333 -1.97851198425926 -1.97310242222222 -1.96110929185185 -1.962073755 -1.97510320425926 -1.98685562981481 -1.98396535981481 -1.93129221661111 -1.93129221661111 -1.96078643074074 -1.94703178166667 -1.9826982137037 -1.95246488148148 -1.94638097111111 -1.96215445425926 -1.98007929259259 -1.94436688166667 -1.9802612362963 -1.97509473944444 -1.95618250018519 -1.96580746666667 -1.93718797596296 -1.95803711925926 -1.94710032518519 -1.98254363166667
5 "LAYING" 0.278334325576923 -0.0183042123269231 -0.107937603673077 -0.483470597692308 0.954890346153846 0.263644691923077 0.0848164824230769 0.00747460829615385 -0.00304067159653846 -0.0218935013501923 -0.0798709596153846 0.159894366942308 -0.102114125 -0.0404446925288462 -0.07083096875 -0.966777882884615 -0.966777882884615 -0.980141253846154 -0.946938300576923 -0.9864194225 -0.968741678461538 -0.965419520961538 -0.977007724615385 -0.135632454076923 0.466528231788462 0.132310871284615 -0.982689657115385 -0.965328566153846 -0.983250309423077 0.239915157321154 0.195677336307692 0.0916938788480769 -0.975797491730769 -0.978249645769231 -0.963202948461538 -0.0227235857115385 0.06812484775 0.0413600281009615 -0.962234984038462 0.292032094967308 -0.977356379807692 0.197005001461538 -0.968257068846154 0.102441765923077 -0.984618025769231 0.0247367106615385 -0.965934509615385 -0.969295613269231 -0.968562516346154 -0.945695336153846 -0.985964053846154 -0.977076645 -0.983307862115385 -0.964560430961538 -0.985419368461538 -0.979498706538461 -0.977427370576923 -0.960583776923077 -0.983422257692308 -0.983759479230769 -0.989679592307692 -0.958612786346154 -0.958612786346154 -0.977477145384615 -0.958287921923077 -0.98377138 -0.964953893653846 -0.972909186730769 -0.965882191153846 -0.985625270384615 -0.96624258 -0.986135599038461 -0.980705769807692 -0.977257800961538 -0.963305738076923 -0.962525369423077 -0.976381934807692 -0.959263063269231 -0.983434493076923
6 "LAYING" 0.248656520140351 -0.0102529170561404 -0.133119570368421 -0.47670987877193 0.956593814210526 0.175867709021053 0.0963481955263158 -0.00114529240245614 0.00328817288070175 -0.0079605026754386 -0.107218315054386 0.179102058245614 -0.111267284631579 -0.0424104289992982 -0.0717774743859649 -0.918878850824561 -0.918878850824561 -0.954750504912281 -0.908980174736842 -0.955645738245614 -0.939114254210526 -0.923706791403509 -0.938044912280702 -0.219729934157895 0.348418746140351 0.161457927833333 -0.967072436842105 -0.936043420175439 -0.954425844736842 0.0114731894070175 -0.0222029460298246 0.0784684032122807 -0.935439769649123 -0.941771544385965 -0.932636612807018 0.102549066280877 0.0236567802333333 0.0445225537614035 -0.91235165222807 0.1446050868 -0.948655471052632 0.182525077889474 -0.930153639473684 0.119317522942105 -0.953695957368421 0.16376531874386 -0.934049422052632 -0.924644826385965 -0.925216100350877 -0.887746310350877 -0.959161956491228 -0.928130738421053 -0.966341054736842 -0.933674494385965 -0.959646055263158 -0.955378225087719 -0.943634949473684 -0.939141878596491 -0.939611608245614 -0.958628819649123 -0.959579071578947 -0.897326245964912 -0.897326245964912 -0.950341934385965 -0.920914497017544 -0.953157001578947 -0.932462941461404 -0.929711219929825 -0.924004748421053 -0.968619159473684 -0.935717452807018 -0.963567540877193 -0.962164978596491 -0.945365097894737 -0.947136774385965 -0.905373979824561 -0.951552664035088 -0.928694890175439 -0.955504654561404
7 "LAYING" 0.250176694038462 -0.0204411516884615 -0.101361036576923 -0.502814250576923 0.393444278076923 0.907537823461538 0.0968904018076923 0.0250624183634615 -0.0131653918205769 -0.00282641913096154 -0.133605695057692 0.155920029769231 -0.105944243484615 -0.0358897425826923 -0.0671901794615385 -0.936392023846154 -0.936392023846154 -0.980127239615385 -0.915793634807692 -0.983008829038462 -0.953424245576923 -0.942193953846154 -0.958611644615385 -0.635913046346154 -0.0438292665807692 0.237111987323077 -0.980393046923077 -0.972531648846154 -0.969524977692308 0.0207159202961538 -0.0451342616019231 0.0945605852 -0.953684547692308 -0.957570207692308 -0.956905310961538 -0.139745225083077 -0.453725644769231 0.0144682871075 -0.927976880634615 -0.129091025169231 -0.968066259230769 0.217605286703846 -0.941130719230769 -0.265784491092308 -0.974117912115385 0.104422952923077 -0.93651361 -0.926262668653846 -0.952978365961539 -0.914221270096154 -0.955543549230769 -0.961908984423077 -0.980977756153846 -0.973093160192308 -0.972983064230769 -0.9601268225 -0.945071935384615 -0.955294890576923 -0.9738372325 -0.976483727307692 -0.988871878269231 -0.907039513153846 -0.907039513153846 -0.967310932307692 -0.918662459038462 -0.971205137884615 -0.931120580576923 -0.922917902307692 -0.953380646346154 -0.983560175384615 -0.975886145 -0.975072995192308 -0.962348254423077 -0.939727873653846 -0.9588764125 -0.910542462919231 -0.965359228076923 -0.918892518653846 -0.969403035384615
8 "LAYING" 0.261254282907407 -0.0212281733881481 -0.102245365611111 -0.405930036111111 0.589922434814815 0.719831539259259 0.0878326902592593 0.0233299159137037 -0.0169218791344444 0.00535361206851852 -0.0891374138592593 0.13818830737037 -0.106445008314815 -0.0389735198722222 -0.0694123150925926 -0.935308633888889 -0.935308633888889 -0.97314748962963 -0.924253348518518 -0.978438191296296 -0.953538563888889 -0.951816663703704 -0.944269514074074 -0.307248374366667 0.00539754357407408 0.192435787087778 -0.973110596111111 -0.975877437407407 -0.962111136666667 0.164984298959259 0.00667286421111111 0.120248739635185 -0.957903886111111 -0.957411160185185 -0.967461239074074 -0.105590903972222 -0.199880205519074 0.213568382200185 -0.932279645518518 0.0484988463518519 -0.961792852407407 0.350822601333333 -0.944528950555556 -0.0620563752462963 -0.968403945925926 0.219371246142593 -0.94304121537037 -0.93489116 -0.932491454407407 -0.918873192333333 -0.957990036481482 -0.94183626337037 -0.973253042222222 -0.976520952037037 -0.96608757462963 -0.965204017592593 -0.952039385740741 -0.96758975462963 -0.969924077407407 -0.974186451851852 -0.987601203703704 -0.91325033 -0.91325033 -0.962954517222222 -0.932470764444444 -0.969029111666667 -0.940125298333333 -0.931236756962963 -0.931146497518519 -0.975959911481481 -0.979170881666667 -0.968699222962963 -0.967846360740741 -0.950316470925926 -0.970671966481481 -0.917257979425926 -0.963791094259259 -0.93678697 -0.971793279814815
9 "LAYING" -0.7408044632 -1.020526821662 -1.10754972144 -1.5802528348 -1.1191541962 -0.0421269584 -0.91192655236 -0.988438267282 -1.0070536778584 -1.013632036148 -1.15890291983 -0.898724989318 -1.10384667982 -1.027552256948 -1.0569490475 -1.9308684376 -1.9308684376 -1.9633745492 -1.9071250998 -1.964524819 -1.946865494 -1.9343665984 -1.9459190006 -1.4459627774628 -1.215336752654 -0.82189271908 -1.964304065 -1.9640828062 -1.955909215 -1.08503093738 -1.227093669698 -1.094374360132 -1.930297921 -1.9345796594 -1.9598150092 -1.23069917904112 -1.321206958058 -1.055125413678 -1.9266042952 -1.085609052452 -1.9543205856 -0.8329970173708 -1.9186053356 -1.20634356866 -1.9558062546 -1.016201378678 -1.94233309 -1.9162927764 -1.9407072854 -1.9218210626 -1.9699944882 -1.9712046902 -1.9647404702 -1.9639966798 -1.958562455 -1.9422465098 -1.9266185314 -1.9615953704 -1.945329035 -1.9621702422 -1.9770761602 -1.91512680016 -1.91512680016 -1.9550268052 -1.8985578738 -1.9528015598 -1.9409810272 -1.9128367508 -1.9419711636 -1.9686013042 -1.966634136 -1.9597147176 -1.9463891504 -1.9231319366 -1.965686312 -1.921929738394 -1.9550947122 -1.9034005814 -1.9522904702
10 "LAYING" -0.719769425862069 -1.02429448413793 -1.11716864236207 -1.45306973758621 -1.13929768103448 -1.03112162413793 -0.926184935512069 -0.984301002902931 -0.992833104137241 -1.01955593716207 -1.07703256572655 -0.895279521655172 -1.10030825441379 -1.03887979204138 -1.05907449127586 -1.95678181965517 -1.95678181965517 -1.97623443517241 -1.9375909987931 -1.97083084896552 -1.96918420862069 -1.95434184913793 -1.96430084517241 -1.14052022862069 -0.799445911603448 -0.682671125432759 -1.9790146687931 -1.9680391737931 -1.97259221293103 -0.951442790050862 -0.957405769951724 -0.853887278056897 -1.95379391206897 -1.95467003448276 -1.96975577724138 -0.929242424865517 -0.928687435351724 -0.842379494539655 -1.95084810913793 -0.739611053737931 -1.96856112155172 -0.787173812189655 -1.93769264258621 -0.783464565527586 -1.96097682155172 -0.797375299725862 -1.968283685 -1.94645430206897 -1.95947148637931 -1.95453194189655 -1.96670115603448 -1.96304564243103 -1.97800746672414 -1.96693079344828 -1.97625666258621 -1.96171319982759 -1.95366020758621 -1.97194059741379 -1.96590057810345 -1.96662104034483 -1.98394930275862 -1.94030165448276 -1.94030165448276 -1.96755698068966 -1.92747116551724 -1.95963293155172 -1.96796803862069 -1.94622914825862 -1.95981366781034 -1.97890436413793 -1.96812069224138 -1.97858233913793 -1.96454456637931 -1.95345349655172 -1.97529879706897 -1.94430497465517 -1.96537755344828 -1.93370131534483 -1.96077287551724
